HEADER,PACKET_ID,TIME_MS,PRESS_HPA,TEMP_C,REL_ALT_M,AX,AY,AZ,GX,GY,GZ,GPS_FIX,GPS_LAT,GPS_LON,GPS_ALT,GPS_SATS,APOGEE
$CANSAT,1,6061,1008.87,31.74,-0.32,-0.00,-0.00,0.90,-0.01,0.09,-0.06,0,0.000000,0.000000,0.0,0,0*
$CANSAT,2,6086,1008.87,31.74,-0.32,0.00,-0.00,0.90,-0.01,-0.03,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,3,6111,1008.87,31.74,-0.32,-0.00,-0.00,0.90,0.05,0.03,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,4,6136,1008.82,31.74,0.15,-0.00,-0.00,0.90,-0.07,-0.10,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,5,6161,1008.82,31.74,0.15,-0.00,-0.00,0.90,-0.01,0.09,0.07,0,0.000000,0.000000,0.0,0,0*
$CANSAT,6,6186,1008.82,31.74,0.15,-0.00,-0.00,0.90,-0.13,0.03,0.07,0,0.000000,0.000000,0.0,0,0*
$CANSAT,7,6211,1008.82,31.74,0.15,-0.00,-0.00,0.90,-0.01,0.03,0.07,0,0.000000,0.000000,0.0,0,0*
$CANSAT,8,6236,1008.84,31.74,-0.06,-0.00,-0.00,0.90,-0.01,-0.03,-0.12,0,0.000000,0.000000,0.0,0,0*
$CANSAT,9,6261,1008.84,31.74,-0.06,-0.00,-0.00,0.90,-0.07,0.03,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,10,6286,1008.84,31.74,-0.06,-0.00,-0.00,0.90,-0.01,0.09,-0.06,0,0.000000,0.000000,0.0,0,0*
$CANSAT,11,6311,1008.84,31.74,-0.06,-0.00,-0.00,0.90,-0.01,0.03,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,12,6337,1008.83,31.74,0.07,-0.00,-0.00,0.90,-0.07,0.03,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,13,6362,1008.83,31.74,0.07,-0.00,-0.00,0.90,-0.01,-0.03,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,14,6387,1008.83,31.74,0.07,-0.00,-0.00,0.90,-0.07,0.03,0.07,0,0.000000,0.000000,0.0,0,0*
$CANSAT,15,6412,1008.83,31.74,0.07,-0.00,-0.00,0.90,-0.07,-0.03,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,16,6437,1008.83,31.74,-0.00,-0.00,-0.00,0.90,-0.07,0.03,-0.06,0,0.000000,0.000000,0.0,0,0*
$CANSAT,17,6462,1008.83,31.74,-0.00,-0.00,-0.00,0.90,-0.07,0.09,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,18,6487,1008.83,31.74,-0.00,-0.00,0.00,0.90,-0.07,0.03,-0.06,0,0.000000,0.000000,0.0,0,0*
$CANSAT,19,6512,1008.83,31.74,-0.00,-0.01,-0.00,0.90,0.05,-0.03,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,20,6537,1008.84,31.75,-0.08,-0.00,-0.00,0.90,0.05,0.09,0.07,0,0.000000,0.000000,0.0,0,0*
$CANSAT,21,6562,1008.84,31.75,-0.08,-0.00,-0.00,0.90,-0.01,-0.03,-0.06,0,0.000000,0.000000,0.0,0,0*
$CANSAT,22,6588,1008.84,31.75,-0.08,-0.00,-0.00,0.90,-0.01,0.03,-0.06,0,0.000000,0.000000,0.0,0,0*
$CANSAT,23,6613,1008.84,31.75,-0.08,-0.00,-0.00,0.90,-0.07,0.09,0.07,0,0.000000,0.000000,0.0,0,0*
$CANSAT,24,6638,1008.83,31.75,-0.01,-0.00,-0.00,0.90,-0.01,0.09,0.07,0,0.000000,0.000000,0.0,0,0*
$CANSAT,25,6663,1008.83,31.75,-0.01,-0.00,-0.00,0.90,-0.13,0.09,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,26,6688,1008.83,31.75,-0.01,-0.00,-0.00,0.90,0.05,0.09,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,27,6713,1008.83,31.75,-0.01,-0.00,-0.00,0.90,0.05,0.03,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,28,6738,1008.82,31.74,0.10,-0.00,-0.00,0.90,-0.07,0.09,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,29,6763,1008.82,31.74,0.10,-0.00,-0.00,0.90,-0.07,0.03,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,30,6788,1008.82,31.74,0.10,-0.00,-0.00,0.90,-0.01,-0.03,0.07,0,0.000000,0.000000,0.0,0,0*
$CANSAT,31,6813,1008.82,31.74,0.10,-0.00,-0.00,0.90,-0.07,0.03,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,32,6839,1008.83,31.75,0.04,-0.00,-0.00,0.90,-0.07,0.09,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,33,6864,1008.83,31.75,0.04,-0.00,-0.00,0.90,-0.13,0.09,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,34,6889,1008.83,31.75,0.04,-0.00,-0.00,0.90,0.05,0.03,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,35,6914,1008.81,31.75,0.21,-0.00,-0.00,0.90,-0.01,0.03,-0.06,0,0.000000,0.000000,0.0,0,0*
$CANSAT,36,6939,1008.81,31.75,0.21,-0.00,-0.00,0.90,-0.01,0.03,0.07,0,0.000000,0.000000,0.0,0,0*
$CANSAT,37,6964,1008.81,31.75,0.21,-0.00,-0.00,0.90,-0.01,0.09,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,38,6989,1008.81,31.75,0.21,-0.00,-0.00,0.90,0.11,0.03,0.13,0,0.000000,0.000000,0.0,0,0*
$CANSAT,39,7014,1008.83,31.74,0.04,-0.00,-0.00,0.90,0.05,-0.03,-0.06,0,0.000000,0.000000,0.0,0,0*
$CANSAT,40,7039,1008.83,31.74,0.04,-0.00,-0.00,0.90,-0.07,0.09,0.07,0,0.000000,0.000000,0.0,0,0*
$CANSAT,41,7064,1008.83,31.74,0.04,-0.00,-0.00,0.90,-0.07,0.09,0.07,0,0.000000,0.000000,0.0,0,0*
$CANSAT,42,7090,1008.83,31.74,0.04,-0.00,-0.00,0.90,0.05,0.09,-0.12,0,0.000000,0.000000,0.0,0,0*
$CANSAT,43,7115,1008.86,31.75,-0.17,-0.00,-0.00,0.90,-0.01,0.09,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,44,7140,1008.86,31.75,-0.17,-0.00,-0.00,0.90,-0.01,0.03,0.07,0,0.000000,0.000000,0.0,0,0*
$CANSAT,45,7165,1008.86,31.75,-0.17,-0.00,-0.00,0.90,-0.01,0.09,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,46,7190,1008.86,31.75,-0.17,-0.00,-0.00,0.90,0.17,0.03,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,47,7215,1008.84,31.75,-0.08,-0.00,-0.00,0.90,-0.07,0.03,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,48,7240,1008.84,31.75,-0.08,-0.00,-0.00,0.90,-0.01,0.03,0.07,0,0.000000,0.000000,0.0,0,0*
$CANSAT,49,7265,1008.84,31.75,-0.08,-0.00,-0.00,0.90,-0.07,0.09,0.07,0,0.000000,0.000000,0.0,0,0*
$CANSAT,50,7290,1008.84,31.75,-0.08,-0.00,-0.00,0.90,0.11,0.03,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,51,7315,1008.86,31.75,-0.19,-0.00,-0.00,0.90,0.05,0.03,0.07,0,0.000000,0.000000,0.0,0,0*
$CANSAT,52,7341,1008.86,31.75,-0.19,-0.00,-0.00,0.90,-0.07,-0.03,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,53,7366,1008.86,31.75,-0.19,-0.00,-0.00,0.90,-0.01,0.09,-0.06,0,0.000000,0.000000,0.0,0,0*
$CANSAT,54,7391,1008.86,31.75,-0.19,-0.00,-0.00,0.90,0.05,-0.03,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,55,7416,1008.80,31.75,0.27,-0.00,-0.00,0.90,-0.13,0.03,-0.06,0,0.000000,0.000000,0.0,0,0*
$CANSAT,56,7441,1008.80,31.75,0.27,-0.00,-0.00,0.90,-0.01,0.03,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,57,7466,1008.80,31.75,0.27,-0.00,-0.00,0.90,-0.01,0.09,0.07,0,0.000000,0.000000,0.0,0,0*
$CANSAT,58,7491,1008.80,31.75,0.27,-0.00,-0.00,0.90,0.05,0.03,-0.06,0,0.000000,0.000000,0.0,0,0*
$CANSAT,59,7516,1008.86,31.75,-0.24,0.00,-0.00,0.90,-0.01,-0.03,0.07,0,0.000000,0.000000,0.0,0,0*
$CANSAT,60,7541,1008.86,31.75,-0.24,-0.00,-0.00,0.90,-0.13,0.03,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,61,7566,1008.86,31.75,-0.24,-0.00,-0.00,0.90,-0.07,0.09,0.07,0,0.000000,0.000000,0.0,0,0*
$CANSAT,62,7592,1008.86,31.75,-0.24,-0.00,-0.00,0.90,-0.01,0.03,-0.06,0,0.000000,0.000000,0.0,0,0*
$CANSAT,63,7617,1008.81,31.75,0.20,-0.00,-0.00,0.90,-0.01,0.03,0.07,0,0.000000,0.000000,0.0,0,0*
$CANSAT,64,7642,1008.81,31.75,0.20,-0.00,-0.00,0.90,0.05,0.03,-0.06,0,0.000000,0.000000,0.0,0,0*
$CANSAT,65,7667,1008.81,31.75,0.20,-0.00,-0.00,0.90,-0.01,-0.03,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,66,7692,1008.81,31.75,0.20,-0.00,-0.00,0.90,0.05,-0.03,0.07,0,0.000000,0.000000,0.0,0,0*
$CANSAT,67,7717,1008.85,31.75,-0.16,-0.00,-0.00,0.90,0.05,0.03,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,68,7742,1008.85,31.75,-0.16,-0.00,-0.00,0.90,-0.01,0.09,-0.06,0,0.000000,0.000000,0.0,0,0*
$CANSAT,69,7767,1008.85,31.75,-0.16,-0.00,-0.00,0.90,0.05,0.03,-0.06,0,0.000000,0.000000,0.0,0,0*
$CANSAT,70,7792,1008.85,31.75,-0.16,-0.00,-0.01,0.90,0.11,-0.03,0.07,0,0.000000,0.000000,0.0,0,0*
$CANSAT,71,7817,1008.84,31.75,-0.05,-0.00,-0.00,0.90,-0.01,0.03,0.07,0,0.000000,0.000000,0.0,0,0*
$CANSAT,72,7843,1008.84,31.75,-0.05,-0.00,-0.00,0.90,-0.01,0.15,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,73,7868,1008.84,31.75,-0.05,-0.00,-0.00,0.90,0.05,0.03,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,74,7893,1008.86,31.75,-0.22,-0.00,-0.00,0.90,-0.01,0.03,0.07,0,0.000000,0.000000,0.0,0,0*
$CANSAT,75,7918,1008.86,31.75,-0.22,-0.00,-0.00,0.90,0.05,0.03,0.01,0,0.000000,0.000000,0.0,0,0*
$CANSAT,76,7943,1008.86,31.75,-0.22,-0.00,-0.00,0.90,-0.01,0.09,0.07,0,0.000000,0.000000,0.0,0,0*
