PACKET_ID,TIME_MS,PRESS_HPA,TEMP_C,BARO_ALT,VERT_VEL,AX,AY,AZ,GX,GY,GZ,GPS_FIX,GPS_LAT,GPS_LON,GPS_ALT,GPS_SATS,APOGEE_TRIGGERED,RSSI,SNR
20,4818,1012.34,33.84,-0.05,-0.68,-0.69,-0.37,0.79,-2.22,0.17,6.79,0,0.0,0.0,0.0,0,0,-1,0.0
40,5326,1012.34,33.85,-0.07,-0.98,-0.7,-0.28,0.73,1.38,0.6,9.96,0,0.0,0.0,0.0,0,0,-1,0.0
60,5826,1012.34,33.85,-0.05,-0.98,-0.71,-0.45,0.82,-5.02,1.51,10.26,0,0.0,0.0,0.0,0,0,-1,0.0
80,6336,1012.36,33.86,-0.27,-0.88,-0.75,-0.31,0.84,-0.45,5.66,4.47,0,0.0,0.0,0.0,0,0,-1,0.0
100,6836,1012.53,33.86,-1.66,-1.76,-0.79,-0.13,0.99,-0.2,3.52,-3.76,0,0.0,0.0,0.0,0,0,-1,0.0
120,7349,1012.44,33.87,-0.89,-1.23,-0.95,-0.07,0.99,5.77,-4.16,-49.68,0,0.0,0.0,0.0,0,0,-1,0.0
140,7849,1012.32,33.87,0.1,-0.49,-0.94,-0.05,0.66,-1.36,-0.75,11.12,0,0.0,0.0,0.0,0,0,-1,0.0
160,8359,1012.4,33.88,-0.54,-1.01,-0.91,-0.08,0.75,-1.55,6.14,4.84,0,0.0,0.0,0.0,0,0,-1,0.0
180,8859,1012.36,33.88,-0.2,-0.9,-0.95,-0.11,0.83,-0.33,-2.33,1.91,0,0.0,0.0,0.0,0,0,-1,0.0
200,9369,1012.36,33.89,-0.24,-0.94,-1.0,-0.08,0.83,1.81,2.18,12.46,0,0.0,0.0,0.0,0,0,-1,0.0
220,9869,1012.38,33.88,-0.37,-1.17,-0.94,-0.14,0.84,-1.91,-4.47,7.21,0,0.0,0.0,0.0,0,0,-1,0.0
240,10378,1012.34,33.88,-0.04,-1.01,-0.97,-0.09,0.81,5.41,-1.66,20.2,0,0.0,0.0,0.0,0,0,-1,0.0
260,10878,1012.37,33.88,-0.36,-0.94,-0.96,-0.07,0.86,4.12,7.0,7.64,0,0.0,0.0,0.0,0,0,-1,0.0
280,11386,1012.5,33.89,-1.37,-1.48,-1.03,-0.11,0.82,3.21,-1.29,9.65,0,0.0,0.0,0.0,0,0,-1,0.0
300,11886,1012.35,33.89,-0.15,-0.44,-1.05,-0.04,0.81,1.26,2.42,3.37,0,0.0,0.0,0.0,0,0,-1,0.0
320,12392,1012.69,33.9,-2.98,-3.13,-0.98,-0.07,0.89,3.21,3.77,9.35,0,0.0,0.0,0.0,0,0,-1,0.0
340,12892,1012.35,33.89,-0.14,-0.57,-1.09,-0.02,0.79,0.41,3.4,7.4,0,0.0,0.0,0.0,0,0,-1,0.0
360,13405,1012.34,33.89,-0.05,-0.88,-1.07,-0.04,0.78,5.89,0.78,7.76,0,0.0,0.0,0.0,0,0,-1,0.0
380,13905,1012.37,33.9,-0.33,-1.53,-1.07,-0.05,0.77,3.21,1.02,6.66,0,0.0,0.0,0.0,0,0,-1,0.0
400,14417,1012.34,33.9,-0.07,-1.32,-1.08,-0.05,0.75,1.38,0.9,7.03,0,0.0,0.0,0.0,0,0,-1,0.0
420,14917,1012.36,33.9,-0.27,-1.28,-1.07,-0.06,0.74,1.38,1.02,8.01,0,0.0,0.0,0.0,0,0,-1,0.0
440,15428,1012.34,33.9,-0.1,-1.36,-1.09,-0.05,0.76,1.99,2.85,7.15,0,0.0,0.0,0.0,0,0,-1,0.0
460,15928,1012.38,33.9,-0.44,-1.59,-1.06,-0.06,0.76,0.95,-0.14,7.88,0,0.0,0.0,0.0,0,0,-1,0.0
480,16438,1012.34,33.9,-0.1,-1.66,-1.09,-0.01,0.72,1.44,0.41,7.21,0,0.0,0.0,0.0,0,0,-1,0.0
500,16939,1012.33,33.9,0.02,-1.51,-1.05,-0.03,0.77,0.1,-0.14,8.37,0,0.0,0.0,0.0,0,0,-1,0.0
520,17448,1012.36,33.91,-0.28,-1.56,-1.03,-0.05,0.74,0.16,-0.5,8.92,0,0.0,0.0,0.0,0,0,-1,0.0
540,17949,1012.36,33.9,-0.24,-1.34,-1.11,-0.04,0.75,2.36,4.68,4.53,0,0.0,0.0,0.0,0,0,-1,0.0
560,18457,1012.35,33.91,-0.14,-1.35,-1.04,-0.11,0.75,0.95,-3.0,11.79,0,0.0,0.0,0.0,0,0,-1,0.0
580,18959,1012.33,33.91,-0.02,-1.27,-0.99,-0.09,0.78,4.25,2.91,7.58,0,0.0,0.0,0.0,0,0,-1,0.0
600,19466,1012.35,33.92,-0.2,-1.55,-0.69,-0.05,0.7,1.93,-3.61,15.93,0,0.0,0.0,0.0,0,0,-1,0.0
620,19968,1012.32,33.91,0.06,-1.6,-1.07,-0.06,0.78,1.99,2.36,6.85,0,0.0,0.0,0.0,0,0,-1,0.0
640,20474,1012.35,33.91,-0.15,-1.69,-1.05,-0.06,0.74,1.56,1.21,6.85,0,0.0,0.0,0.0,0,0,-1,0.0
660,20976,1012.36,33.91,-0.25,-1.5,-1.07,-0.05,0.74,0.95,1.27,8.13,0,0.0,0.0,0.0,0,0,-1,0.0
680,21481,1012.33,33.91,0.01,-1.07,-1.04,-0.15,0.79,-0.02,-0.08,6.54,0,0.0,0.0,0.0,0,0,-1,0.0
700,21984,1012.35,33.92,-0.18,-1.5,-1.06,-0.05,0.73,-1.97,2.79,6.54,0,0.0,0.0,0.0,0,0,-1,0.0
720,22489,1012.35,33.92,-0.15,-1.37,-1.06,-0.08,0.79,1.32,1.69,10.02,0,0.0,0.0,0.0,0,0,-1,0.0
740,22992,1012.35,33.92,-0.19,-1.42,-1.21,-0.04,0.77,-2.28,3.1,2.09,0,0.0,0.0,0.0,0,0,-1,0.0
760,23496,1012.36,33.91,-0.21,-1.39,-1.09,0.04,0.68,1.32,-4.65,3.25,0,0.0,0.0,0.0,0,0,-1,0.0
780,23999,1012.34,33.92,-0.12,-1.34,-1.09,-0.06,0.75,3.64,-1.42,-1.51,0,0.0,0.0,0.0,0,0,-1,0.0
800,24503,1012.31,33.92,0.17,-1.04,-1.17,-0.12,0.76,1.99,6.39,5.69,0,0.0,0.0,0.0,0,0,-1,0.0
820,25006,1012.35,33.92,-0.17,-1.31,-0.89,-0.1,0.81,-1.06,4.32,-9.43,0,0.0,0.0,0.0,0,0,-1,0.0
840,25510,1012.32,33.92,0.1,-0.77,-0.98,-0.25,0.73,8.52,-3.31,-5.65,0,0.0,0.0,0.0,0,0,-1,0.0
